loc,v(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd,defects
1.1,1.4,1.2,1.2,1.2,1.2,FALSE
1,1,1,1,1,1,TRUE
72,7,17,36,112,86,TRUE
190,3,17,135,329,271,TRUE
37,4,11,16,76,50,TRUE
31,2,14,24,69,42,TRUE
78,9,0,0,0,0,TRUE
8,1,4,5,9,7,TRUE
24,2,0,0,0,0,TRUE
143,22,0,0,0,0,TRUE
73,10,0,0,0,0,TRUE
83,11,0,0,0,0,TRUE
12,3,11,12,22,15,TRUE
48,4,19,23,87,42,TRUE
68,8,0,0,0,0,TRUE
138,22,0,0,0,0,TRUE
10,1,4,4,5,4,TRUE
250,49,32,64,1081,388,TRUE
77,8,7,10,167,117,TRUE
85,9,26,47,161,118,TRUE
110,17,27,59,176,146,TRUE
49,6,19,24,107,64,TRUE
187,35,21,56,299,227,TRUE
27,6,0,0,0,0,TRUE
38,8,9,16,72,73,TRUE
294,43,28,113,484,330,TRUE
29,3,14,25,45,43,TRUE
160,5,22,103,388,310,TRUE
94,16,22,29,127,91,TRUE
48,3,16,44,85,72,TRUE
14,2,8,10,18,13,TRUE
32,6,14,21,66,50,TRUE
11,1,4,4,5,4,TRUE
20,3,9,5,21,10,TRUE
39,1,0,0,0,0,TRUE
63,21,0,0,0,0,TRUE
78,6,20,28,113,79,TRUE
209,26,0,0,0,0,TRUE
6,2,10,5,15,6,TRUE
44,13,0,0,0,0,TRUE
24,3,13,7,34,18,TRUE
23,2,9,15,31,20,TRUE
69,6,0,0,0,0,TRUE
148,19,19,57,308,208,TRUE
83,20,25,29,149,77,TRUE
53,4,13,21,58,48,TRUE
97,15,0,0,0,0,TRUE
25,2,9,23,38,33,TRUE
466,110,0,0,0,0,TRUE
110,27,0,0,0,0,TRUE
113,19,26,63,271,220,TRUE
119,9,21,53,174,126,TRUE
15,3,12,12,29,18,TRUE
44,10,0,0,0,0,TRUE
124,55,0,0,0,0,TRUE
8,1,5,6,8,7,TRUE
8,1,5,6,8,7,TRUE
162,27,0,0,0,0,TRUE
113,27,25,57,256,189,TRUE
8,1,5,6,8,7,TRUE
8,1,5,5,8,6,TRUE
9,2,7,6,10,7,TRUE
179,36,0,0,0,0,TRUE
171,16,19,76,370,274,TRUE
77,15,16,51,158,115,TRUE
8,1,5,6,8,7,TRUE
12,4,12,12,24,16,TRUE
42,9,17,30,116,74,TRUE
14,1,4,17,40,39,TRUE
19,5,12,8,34,28,TRUE
88,8,21,24,174,76,TRUE
13,2,7,19,27,23,TRUE
46,4,13,18,47,33,TRUE
129,30,34,52,260,142,TRUE
20,1,0,0,0,0,TRUE
22,1,10,17,66,41,TRUE
32,2,11,32,86,71,TRUE
13,1,9,5,29,16,TRUE
12,3,10,6,12,10,TRUE
6,1,5,4,6,5,TRUE
17,3,8,7,15,13,TRUE
5,1,7,5,9,6,TRUE
227,55,0,0,0,0,TRUE
68,5,15,32,167,140,TRUE
37,4,14,20,44,29,TRUE
106,12,25,44,165,123,TRUE
18,1,6,10,7,11,TRUE
100,11,20,40,164,113,TRUE
99,14,27,64,153,124,TRUE
53,6,19,22,106,70,TRUE
4,1,4,4,6,4,TRUE
4,1,4,4,6,4,TRUE
4,1,4,4,6,4,TRUE
4,1,4,4,6,4,TRUE
4,1,4,4,6,4,TRUE
50,5,0,0,0,0,TRUE
14,3,10,5,13,8,TRUE
11,2,10,6,19,11,TRUE
174,15,21,86,246,202,TRUE
33,4,10,21,53,45,TRUE
4,1,5,3,5,3,TRUE
13,2,6,10,33,26,TRUE
135,11,18,78,191,161,TRUE
49,6,22,25,83,54,TRUE
45,6,17,32,123,103,TRUE
65,4,0,0,0,0,TRUE
40,5,22,24,80,51,TRUE
59,7,19,29,132,63,TRUE
31,4,21,21,66,41,TRUE
45,9,20,29,111,84,TRUE
31,6,16,14,43,26,TRUE
28,2,12,11,47,28,TRUE
49,3,17,22,67,54,TRUE
30,5,22,22,58,42,TRUE
146,15,27,51,260,163,TRUE
127,16,28,68,258,204,TRUE
85,18,24,38,211,139,TRUE
28,5,21,21,58,40,TRUE
21,4,0,0,0,0,TRUE
127,23,30,57,184,139,TRUE
45,12,16,18,96,64,TRUE
31,3,12,21,49,38,TRUE
11,3,11,8,22,17,TRUE
28,6,0,0,0,0,TRUE
61,8,15,11,63,36,TRUE
12,2,7,6,9,7,TRUE
20,6,0,0,0,0,TRUE
28,3,14,25,51,44,TRUE
55,4,16,7,45,28,TRUE
38,6,14,9,45,30,TRUE
14,10,12,5,61,36,TRUE
142,11,20,14,76,52,TRUE
29,3,14,25,51,44,TRUE
15,2,7,6,10,9,TRUE
54,5,18,13,68,48,TRUE
105,6,0,0,0,0,TRUE
29,3,9,15,29,23,TRUE
15,3,0,0,0,0,TRUE
24,4,9,16,28,20,TRUE
25,4,9,17,29,21,TRUE
88,14,26,42,201,163,TRUE
116,13,26,67,174,118,TRUE
71,5,15,49,118,105,TRUE
49,4,?,?,?,?,TRUE
87,10,0,0,0,0,TRUE
19,2,10,11,24,19,TRUE
99,9,24,43,156,104,TRUE
84,8,23,34,125,80,TRUE
77,10,16,27,165,104,TRUE
139,20,28,32,202,147,TRUE
37,5,12,21,78,65,TRUE
29,3,13,19,63,34,TRUE
20,3,12,9,27,14,TRUE
31,3,13,21,67,38,TRUE
34,5,13,13,47,44,TRUE
62,6,17,33,98,71,TRUE
132,31,27,45,925,304,TRUE
18,4,0,0,0,0,TRUE
68,4,13,42,73,64,TRUE
4,1,4,3,4,3,TRUE
22,1,7,10,15,12,TRUE
10,2,9,6,14,6,TRUE
76,8,15,24,85,64,TRUE
20,2,12,24,47,37,TRUE
20,2,12,23,47,37,TRUE
31,6,15,11,46,30,TRUE
89,21,23,19,122,57,TRUE
81,9,25,32,119,79,TRUE
30,2,15,18,54,32,TRUE
47,11,23,20,89,54,TRUE
191,27,22,47,324,257,TRUE
36,7,18,15,46,26,TRUE
43,12,17,14,46,24,TRUE
219,31,0,0,0,0,TRUE
8,1,8,5,11,6,TRUE
14,3,13,17,33,23,TRUE
24,2,15,9,55,22,TRUE
24,2,16,10,61,28,TRUE
26,2,14,11,61,28,TRUE
70,5,0,0,0,0,TRUE
24,4,0,0,0,0,TRUE
25,4,19,19,72,39,TRUE
36,2,16,21,51,35,TRUE
29,4,15,26,57,43,TRUE
28,7,13,18,36,26,TRUE
6,1,4,6,7,6,TRUE
40,5,20,22,88,44,TRUE
45,8,16,12,88,41,TRUE
45,7,16,12,84,37,TRUE
4,1,4,3,4,3,TRUE
160,18,22,18,132,84,TRUE
27,4,16,15,49,33,TRUE
121,22,15,48,192,153,TRUE
12,2,8,5,10,7,TRUE
26,2,6,7,13,9,TRUE
25,6,0,0,0,0,TRUE
34,9,15,15,76,34,TRUE
33,9,20,18,63,40,TRUE
145,10,26,45,239,143,TRUE
5,1,4,3,4,3,TRUE
28,7,17,12,35,19,TRUE
46,8,21,20,70,38,TRUE
41,10,22,18,73,47,TRUE
85,18,23,36,148,90,TRUE
60,16,23,17,122,71,TRUE
31,7,22,22,68,45,TRUE
39,8,23,23,77,52,TRUE
27,6,20,19,58,36,TRUE
62,16,21,23,139,87,TRUE
138,35,26,46,210,147,TRUE
30,8,0,0,0,0,TRUE
34,9,0,0,0,0,TRUE
13,4,0,0,0,0,TRUE
26,34,14,7,229,104,TRUE
43,11,11,34,145,90,TRUE
67,11,0,0,0,0,TRUE
14,4,0,0,0,0,TRUE
17,5,14,14,29,18,TRUE
31,4,12,12,23,18,TRUE
42,7,18,18,49,35,TRUE
19,2,12,9,24,15,TRUE
20,3,11,19,41,27,TRUE
13,5,15,9,32,19,TRUE
14,3,9,5,15,7,TRUE
20,4,12,9,28,23,TRUE
130,25,24,48,258,198,TRUE
37,6,15,14,39,26,TRUE
24,8,15,17,42,30,TRUE
89,9,25,35,123,93,TRUE
28,9,24,17,82,43,TRUE
91,11,19,42,149,96,TRUE
42,6,12,36,65,52,TRUE
74,8,23,26,166,133,TRUE
33,4,16,16,39,28,TRUE
96,11,18,36,141,91,TRUE
6,1,3,3,7,3,TRUE
9,3,11,7,14,9,TRUE
21,7,11,15,48,38,TRUE
113,19,16,33,268,163,TRUE
5,1,5,4,7,4,TRUE
7,2,7,4,9,5,TRUE
43,4,15,21,87,50,TRUE
63,12,21,33,98,62,TRUE
8,1,5,8,9,9,TRUE
8,1,4,6,8,6,TRUE
8,1,4,6,8,6,TRUE
573,38,0,0,0,0,TRUE
104,13,25,23,202,107,TRUE
77,8,24,19,175,89,TRUE
39,4,13,23,64,48,TRUE
30,4,26,18,72,36,TRUE
79,7,13,26,86,60,TRUE
240,40,38,87,683,415,TRUE
86,12,24,32,87,49,TRUE
82,15,9,33,105,87,TRUE
101,22,22,24,186,118,TRUE
55,12,27,34,117,86,TRUE
41,5,0,0,0,0,TRUE
35,12,0,0,0,0,TRUE
8,1,5,4,6,5,TRUE
200,25,0,0,0,0,TRUE
27,2,10,16,33,28,TRUE
32,3,17,22,44,29,TRUE
41,7,0,0,0,0,TRUE
165,16,0,0,0,0,TRUE
23,4,15,13,32,21,TRUE
16,3,16,11,26,16,TRUE
54,7,12,15,94,68,TRUE
31,1,0,0,0,0,TRUE
15,1,9,12,41,25,TRUE
7,1,7,4,18,8,TRUE
31,12,0,0,0,0,TRUE
