loc,v(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd
1.1,1.4,1.2,1.2,1.2,1.2
1,1,1,1,1,1
91,9,29,66,192,126
109,21,28,75,229,152
505,106,64,397,1397,942
107,25,35,86,359,260
74,11,29,63,169,125
602,136,99,538,1641,1144
29,2,8,27,73,67
36,3,15,37,137,117
70,11,28,102,240,194
109,20,23,38,144,79
37,3,21,37,99,88
90,29,21,102,287,201
19,2,15,16,44,27
152,21,26,73,243,187
22,5,17,25,59,41
69,12,21,106,300,236
49,9,25,44,116,75
48,3,23,38,137,111
128,19,34,70,285,209
32,6,28,36,107,79
38,6,19,42,148,96
34,6,19,38,108,68
16,3,14,18,36,24
15,4,18,22,50,36
14,3,10,14,29,18
22,5,17,24,59,41
22,3,11,21,43,31
12,2,10,14,24,17
25,8,16,31,63,47
23,4,15,27,57,44
8,1,11,18,26,23
47,7,18,45,83,66
19,3,14,20,42,35
64,8,22,39,119,79
110,25,23,77,361,302
58,6,16,60,164,150
167,26,20,136,367,304
60,12,25,35,109,74
14,3,15,12,26,20
15,1,5,16,28,25
120,7,28,107,544,458
28,6,21,26,52,34
64,12,26,59,202,166
61,7,16,59,159,145
3,1,6,4,6,4
141,24,32,90,365,292
6,1,13,12,18,12
93,17,28,66,229,180
6,1,13,12,18,12
31,7,18,30,61,47
153,25,33,101,462,379
63,17,24,75,229,200
106,29,28,85,297,242
23,5,25,29,66,47
29,5,18,31,93,71
84,9,31,140,457,419
17,1,16,26,58,44
6,1,4,5,6,5
15,4,18,22,50,36
29,5,18,30,84,62
5,1,4,5,6,5
15,3,11,15,32,21
5,1,4,5,6,5
6,1,4,5,6,5
23,4,15,28,57,44
5,1,4,5,6,5
5,1,4,5,6,5
43,9,14,43,104,82
14,4,15,20,40,29
16,5,16,25,52,38
3,1,9,5,13,5
24,4,12,21,60,56
17,4,13,18,45,34
6,1,4,5,6,5
27,7,22,20,55,39
6,1,4,5,6,5
10,1,6,9,14,11
29,6,15,18,48,31
8,2,6,2,8,3
108,22,31,91,270,194
14,7,16,22,42,40
0,1,1,0,1,0
13,4,12,8,25,17
0,1,1,0,1,0
56,1,34,48,202,125
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
7,1,7,11,18,13
9,2,6,10,16,14
10,1,10,11,22,13
7,1,7,11,18,13
9,2,6,10,16,14
14,1,12,21,42,26
11,3,10,15,29,28
19,5,14,15,41,25
0,1,2,0,2,0
0,1,2,0,2,0
14,2,10,18,33,28
4,1,5,4,7,4
4,1,5,4,7,4
11,1,8,8,24,14
0,1,2,0,2,0
6,2,8,6,10,10
0,1,1,0,1,0
6,1,3,5,9,6
14,2,13,12,33,17
17,6,13,9,41,30
36,7,18,35,92,62
49,10,26,42,99,69
0,1,2,0,2,0
40,9,25,35,100,65
7,2,4,3,7,3
76,14,27,51,132,95
19,2,16,24,52,38
15,3,10,17,27,21
10,3,15,9,18,13
10,1,12,11,24,13
15,3,10,17,27,21
10,3,15,9,18,13
9,1,10,9,20,11
0,1,2,0,2,0
0,1,2,0,2,0
57,9,27,52,125,86
36,9,16,30,67,45
0,1,2,0,2,0
9,1,9,6,16,8
8,1,5,3,10,4
14,2,8,11,22,13
4,1,6,6,8,7
36,10,15,36,81,70
3,1,4,5,6,5
10,2,9,9,16,13
8,2,14,12,24,17
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
51,14,21,48,145,100
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
7,1,7,10,16,12
18,5,11,11,49,38
9,1,10,9,20,11
7,1,7,10,16,12
3,1,7,4,8,4
10,1,12,11,24,13
35,7,18,34,89,59
23,6,14,24,51,34
0,1,2,0,2,0
0,1,2,0,2,0
0,1,2,0,2,0
63,11,30,51,153,114
22,3,10,11,36,19
0,1,2,0,2,0
8,3,11,11,24,24
142,73,36,152,554,507
58,72,17,55,268,215
22,14,19,11,65,37
29,8,20,23,79,62
44,6,15,43,108,94
0,1,2,0,2,0
5,1,4,3,4,3
7,1,7,10,16,12
8,1,8,7,15,10
16,1,10,13,33,21
7,1,7,10,16,12
8,1,8,7,15,10
9,1,10,9,20,11
0,1,2,0,2,0
0,1,2,0,2,0
3,1,10,7,20,9
3,1,3,1,3,1
23,3,11,20,52,48
14,2,10,10,33,30
3,1,3,2,3,2
0,1,4,1,4,1
27,8,22,27,72,55
18,5,18,21,53,44
53,3,17,70,158,138
253,33,47,146,602,452
11,2,11,12,25,15
10,1,7,11,21,18
17,1,13,14,38,22
11,2,11,12,25,15
10,1,7,11,21,18
15,1,10,11,30,18
19,3,12,31,78,56
28,2,12,32,97,78
4,1,5,4,7,4
