loc,v(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd,defects
1.1,1.4,1.2,1.2,1.2,1.2,FALSE
1,1,1,1,1,1,TRUE
24,5,15,15,44,19,FALSE
20,4,16,8,31,16,FALSE
24,6,16,12,46,26,FALSE
24,6,16,12,46,26,FALSE
7,1,4,5,6,5,FALSE
12,2,10,7,14,9,FALSE
25,5,15,20,69,38,FALSE
46,15,15,37,129,110,FALSE
34,5,19,27,96,59,FALSE
10,2,9,8,19,16,FALSE
23,7,17,13,114,43,FALSE
23,7,14,9,70,35,FALSE
31,5,22,28,161,70,FALSE
24,5,19,25,80,40,FALSE
13,2,14,13,40,17,FALSE
6,1,8,5,10,5,FALSE
33,2,12,34,69,66,FALSE
6,1,8,5,10,5,FALSE
7,2,10,5,15,12,FALSE
3,1,7,4,9,5,FALSE
7,1,6,8,16,13,FALSE
9,3,11,7,23,18,FALSE
11,3,12,9,27,22,FALSE
4,1,4,4,7,6,FALSE
3,1,5,2,5,2,FALSE
16,4,15,13,43,34,FALSE
65,12,19,52,311,230,FALSE
177,41,45,110,499,268,FALSE
14,5,15,8,25,16,FALSE
361,70,69,251,1133,711,FALSE
76,13,36,57,196,102,FALSE
31,1,13,41,317,144,FALSE
20,3,14,17,46,25,FALSE
27,5,18,14,74,34,FALSE
15,3,13,19,31,21,FALSE
13,4,15,17,34,25,FALSE
32,6,17,31,76,47,FALSE
25,3,19,33,71,49,FALSE
22,4,15,19,41,34,FALSE
28,6,21,25,73,55,FALSE
18,2,16,19,64,58,FALSE
24,5,21,23,110,87,FALSE
62,9,24,64,197,113,FALSE
65,12,17,61,154,109,FALSE
8,1,7,6,37,12,FALSE
18,4,13,28,46,34,FALSE
6,1,4,3,7,4,FALSE
48,7,20,71,149,101,FALSE
127,10,25,126,486,251,FALSE
21,4,12,22,49,28,FALSE
32,2,18,46,118,96,FALSE
41,6,21,36,110,59,FALSE
23,5,12,13,34,17,FALSE
8,2,11,10,26,10,FALSE
25,4,16,16,65,30,FALSE
8,2,6,4,7,5,FALSE
17,3,17,21,66,36,FALSE
38,5,22,40,106,70,FALSE
31,5,18,37,79,61,FALSE
21,4,15,19,35,26,FALSE
21,4,15,19,35,26,FALSE
14,2,10,5,14,11,FALSE
6,1,7,5,11,5,FALSE
29,5,17,18,67,44,FALSE
18,3,14,19,56,35,FALSE
55,11,25,41,129,88,FALSE
47,3,21,55,68,82,FALSE
32,6,21,17,58,37,FALSE
32,3,16,40,272,266,FALSE
38,4,19,27,96,69,FALSE
14,2,11,14,38,18,FALSE
60,5,26,67,217,114,FALSE
10,1,7,8,18,14,FALSE
16,3,12,18,46,27,FALSE
12,2,11,9,23,10,FALSE
13,2,11,8,27,14,FALSE
16,2,14,10,29,13,FALSE
27,4,25,20,66,29,FALSE
31,5,23,22,77,33,FALSE
10,1,4,3,7,3,FALSE
37,5,20,20,61,32,FALSE
8,1,5,3,6,3,FALSE
8,1,9,8,22,11,FALSE
9,1,9,9,30,14,FALSE
9,1,9,6,25,11,FALSE
7,1,5,2,6,2,FALSE
26,4,16,20,66,33,FALSE
7,1,9,6,17,8,FALSE
14,1,9,10,57,29,FALSE
9,1,7,3,10,4,FALSE
11,1,8,4,16,7,FALSE
34,6,17,29,92,43,FALSE
7,1,7,2,9,2,FALSE
31,7,15,15,79,47,FALSE
8,1,5,3,6,3,FALSE
6,1,6,2,8,2,FALSE
7,1,7,3,7,3,FALSE
15,2,12,15,41,19,FALSE
16,1,9,14,38,26,FALSE
19,1,11,13,41,23,FALSE
130,29,34,94,420,309,FALSE
30,4,15,21,64,58,FALSE
34,6,12,27,92,54,FALSE
20,6,23,19,165,76,FALSE
17,2,15,12,30,23,FALSE
17,2,15,12,30,23,FALSE
26,8,17,24,145,65,FALSE
10,1,5,4,13,9,FALSE
6,1,6,4,7,4,FALSE
8,1,4,3,7,4,FALSE
93,17,35,63,234,173,FALSE
128,25,36,108,464,326,FALSE
28,3,17,24,70,33,FALSE
19,2,16,17,42,20,FALSE
19,2,15,16,38,19,FALSE
21,3,12,16,39,23,FALSE
154,17,36,133,410,285,FALSE
125,18,46,96,270,168,FALSE
14,2,11,7,14,10,FALSE
127,30,25,87,438,252,FALSE
12,1,5,9,17,12,FALSE
18,2,17,19,46,26,FALSE
20,3,16,18,63,26,FALSE
36,4,17,27,100,56,FALSE
160,32,29,104,325,163,FALSE
47,10,21,54,221,97,FALSE
6,1,4,2,4,2,FALSE
6,1,4,2,4,2,FALSE
38,4,19,38,94,59,FALSE
6,1,4,2,4,2,FALSE
12,1,4,8,13,8,FALSE
12,1,4,9,13,12,FALSE
9,1,4,9,13,12,FALSE
41,2,17,52,145,96,FALSE
30,2,17,33,94,57,FALSE
6,1,5,2,5,2,FALSE
20,5,16,8,42,21,FALSE
149,15,31,110,448,333,FALSE
6,1,4,3,5,3,FALSE
16,3,12,21,43,27,FALSE
15,1,5,10,25,21,FALSE
13,1,10,10,38,31,FALSE
6,1,7,4,9,4,FALSE
14,2,10,7,24,13,FALSE
14,2,10,7,24,13,FALSE
27,3,15,38,69,61,FALSE
19,2,16,16,41,19,FALSE
21,2,16,16,59,46,FALSE
6,1,6,4,8,5,FALSE
16,3,14,11,28,12,FALSE
55,9,23,39,179,113,FALSE
6,1,3,2,3,2,FALSE
9,1,4,7,10,8,FALSE
12,1,5,9,17,12,FALSE
12,1,4,9,13,12,FALSE
69,19,31,64,267,151,FALSE
138,25,32,147,375,250,FALSE
6,1,4,2,4,2,FALSE
6,1,4,2,4,2,FALSE
72,16,22,50,172,83,FALSE
6,1,3,1,3,1,FALSE
6,1,4,1,4,1,FALSE
6,1,5,2,5,2,FALSE
6,1,5,3,6,3,FALSE
11,1,3,7,12,10,FALSE
23,4,18,21,48,27,FALSE
17,1,6,17,27,22,FALSE
60,13,20,41,98,57,FALSE
32,5,15,17,42,30,FALSE
16,3,13,8,20,13,FALSE
42,2,18,59,119,91,FALSE
6,1,4,3,5,3,FALSE
14,2,13,17,37,30,FALSE
27,3,12,26,51,36,FALSE
8,1,8,5,15,9,FALSE
7,1,4,4,7,6,FALSE
31,5,11,8,38,29,FALSE
8,1,7,3,8,4,FALSE
11,1,10,6,16,13,FALSE
6,1,3,1,3,1,FALSE
13,2,7,6,14,6,FALSE
6,1,6,3,7,3,FALSE
22,2,17,20,54,27,FALSE
29,7,19,15,60,40,FALSE
9,1,14,9,55,26,FALSE
16,4,17,15,92,43,FALSE
92,15,19,32,274,192,FALSE
18,4,16,13,51,25,FALSE
36,6,19,27,121,61,FALSE
5,1,6,3,6,3,FALSE
22,3,15,16,39,30,FALSE
3,1,5,1,6,1,FALSE
7,2,10,5,15,12,FALSE
3,1,7,4,9,5,FALSE
7,1,6,8,16,13,FALSE
9,3,11,7,23,18,FALSE
11,3,12,9,27,22,FALSE
4,1,4,4,7,6,FALSE
3,1,5,2,5,2,FALSE
30,4,25,37,118,75,FALSE
5,1,3,2,3,2,FALSE
16,4,24,19,68,41,FALSE
5,1,3,2,3,2,FALSE
15,4,24,19,68,41,FALSE
40,10,27,66,246,153,FALSE
5,1,3,2,3,2,FALSE
5,1,3,2,3,2,FALSE
12,2,17,19,66,34,FALSE
5,1,4,2,4,2,FALSE
44,6,32,62,245,135,FALSE
31,5,12,25,72,69,FALSE
22,6,21,20,56,38,FALSE
20,4,19,25,84,38,FALSE
27,6,22,31,98,42,FALSE
6,1,10,10,18,10,FALSE
25,2,14,29,76,64,FALSE
10,2,14,10,31,14,FALSE
10,2,14,10,31,14,FALSE
5,1,4,1,4,1,FALSE
14,3,14,13,40,16,FALSE
20,4,17,26,63,34,FALSE
28,7,21,31,99,43,FALSE
3,1,7,2,9,2,FALSE
45,12,28,50,194,94,FALSE
7,2,9,8,14,11,FALSE
7,2,9,8,14,11,FALSE
7,2,9,8,14,11,FALSE
7,2,9,8,14,11,FALSE
7,2,9,8,14,11,FALSE
7,2,9,8,14,11,FALSE
7,2,9,8,14,11,FALSE
11,2,12,5,22,10,FALSE
11,2,12,8,32,16,FALSE
27,8,18,19,64,29,FALSE
10,2,10,6,18,8,FALSE
9,2,11,6,18,9,FALSE
9,2,11,9,28,15,FALSE
20,3,11,6,20,16,FALSE
98,10,32,101,314,172,FALSE
172,25,27,148,498,252,FALSE
6,1,7,13,29,21,FALSE
43,4,19,48,170,97,FALSE
36,2,19,22,115,56,FALSE
21,4,16,27,55,32,FALSE
6,1,9,7,15,8,FALSE
5,1,9,4,10,4,FALSE
5,1,9,5,9,5,FALSE
8,1,10,8,26,13,FALSE
6,1,9,8,23,12,FALSE
16,4,20,17,58,33,FALSE
14,3,13,10,21,16,FALSE
88,19,33,70,285,207,FALSE
29,4,26,40,94,57,FALSE
60,21,44,96,490,319,FALSE
52,10,36,54,202,140,FALSE
7,1,8,8,10,9,FALSE
8,1,8,12,19,15,FALSE
20,1,11,24,63,36,FALSE
29,6,20,20,85,48,FALSE
9,1,10,7,18,10,FALSE
15,4,16,12,37,18,FALSE
14,2,13,13,32,19,FALSE
22,3,11,13,28,19,FALSE
63,15,35,39,183,79,FALSE
9,2,13,9,30,10,FALSE
9,2,13,9,29,10,FALSE
17,4,17,15,44,24,FALSE
9,3,8,5,13,6,FALSE
10,2,15,12,42,20,FALSE
3,1,4,1,4,1,FALSE
