loc,v(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd,defects
1.1,1.4,1.2,1.2,1.2,1.2,FALSE
1,1,1,1,1,1,TRUE
83,11,18,25,107,64,TRUE
46,8,16,28,89,52,TRUE
25,3,11,10,41,17,TRUE
43,3,11,20,74,41,TRUE
48,6,12,21,95,54,TRUE
69,12,16,22,156,75,TRUE
47,6,12,20,95,54,TRUE
48,7,14,22,99,56,TRUE
58,9,15,25,124,69,TRUE
65,6,14,22,93,62,TRUE
116,11,19,40,177,112,TRUE
24,4,11,15,43,31,TRUE
77,19,18,24,153,78,TRUE
9,1,7,5,8,5,TRUE
16,2,8,14,24,19,TRUE
93,7,22,35,162,95,TRUE
23,1,7,17,44,23,TRUE
30,1,5,12,5,16,TRUE
30,1,3,1,28,26,TRUE
35,3,12,18,69,39,TRUE
25,4,9,8,33,24,TRUE
20,7,10,12,31,23,TRUE
119,14,18,29,190,99,TRUE
35,4,12,13,47,31,TRUE
33,4,12,12,44,29,TRUE
17,2,8,5,17,8,TRUE
44,3,12,15,87,40,TRUE
84,15,21,37,141,89,TRUE
56,3,12,23,96,54,TRUE
58,3,15,25,121,70,TRUE
78,7,14,34,127,86,TRUE
75,8,17,26,161,89,TRUE
12,1,5,6,14,8,TRUE
11,1,5,6,14,8,TRUE
69,10,16,24,124,75,TRUE
39,5,14,18,56,30,TRUE
53,5,12,23,76,37,TRUE
52,5,12,22,71,36,TRUE
30,2,10,12,44,30,TRUE
27,3,11,24,46,31,TRUE
47,7,10,22,52,53,TRUE
49,7,10,23,54,56,TRUE
7,1,6,6,8,6,TRUE
66,12,15,22,117,60,TRUE
14,1,9,8,19,10,TRUE
29,3,11,15,39,25,TRUE
6,1,5,6,8,6,TRUE
12,1,7,8,24,12,TRUE
38,7,12,18,71,48,TRUE
132,16,26,57,192,130,TRUE
26,4,15,21,48,33,TRUE
56,5,13,34,109,69,TRUE
21,1,8,20,45,31,TRUE
43,6,21,20,59,36,TRUE
12,4,12,11,26,18,TRUE
11,1,8,6,17,9,TRUE
26,2,9,17,41,27,TRUE
80,11,22,41,167,107,TRUE
63,8,22,33,112,73,TRUE
10,2,11,3,16,7,TRUE
9,2,8,10,17,14,TRUE
35,5,18,15,55,34,TRUE
9,1,5,8,17,8,TRUE
16,2,11,4,25,10,TRUE
5,1,5,2,7,3,TRUE
16,1,8,7,20,8,TRUE
4,1,6,1,6,1,TRUE
12,2,6,7,16,8,TRUE
8,2,7,6,11,9,TRUE
4,1,4,1,4,1,TRUE
14,2,10,8,18,11,TRUE
56,3,10,30,56,45,TRUE
30,2,11,12,35,20,TRUE
52,8,18,39,147,100,TRUE
41,6,18,20,68,41,TRUE
4,1,1,0,1,0,TRUE
15,1,7,8,18,8,TRUE
9,1,4,7,19,12,TRUE
5,1,6,2,6,2,TRUE
25,1,9,18,39,26,TRUE
45,1,0,0,0,0,TRUE
4,1,3,1,3,1,TRUE
23,3,12,11,44,26,TRUE
14,1,7,10,21,12,TRUE
18,2,9,7,24,15,TRUE
40,4,13,18,68,42,TRUE
24,3,12,13,50,30,TRUE
52,6,13,20,83,50,TRUE
11,1,8,5,9,5,TRUE
23,6,19,12,45,25,TRUE
4,1,3,1,3,1,TRUE
38,8,27,32,124,67,TRUE
113,15,25,74,330,197,TRUE
8,1,7,10,15,11,TRUE
38,6,16,25,102,65,TRUE
47,13,22,28,137,94,TRUE
8,1,8,4,12,5,TRUE
4,1,3,2,3,2,TRUE
15,3,14,13,25,18,TRUE
38,5,18,15,36,25,TRUE
48,12,20,26,107,70,TRUE
70,15,21,30,175,118,TRUE
23,5,24,20,78,38,TRUE
27,8,18,25,72,56,TRUE
10,1,7,9,15,11,TRUE
13,1,11,14,27,19,TRUE
23,8,13,19,66,43,TRUE
11,4,11,9,22,16,TRUE
9,2,10,11,25,17,TRUE
11,3,11,15,24,19,TRUE
49,8,19,40,110,75,TRUE
53,11,27,39,226,128,TRUE
21,5,21,15,51,30,TRUE
16,4,11,21,52,34,TRUE
22,5,25,21,81,42,TRUE
24,5,26,23,85,44,TRUE
27,6,16,24,75,56,TRUE
27,5,12,9,61,32,TRUE
39,9,29,32,130,78,TRUE
16,3,9,18,30,28,TRUE
19,4,13,18,52,34,TRUE
66,16,23,51,148,111,TRUE
12,2,8,5,13,9,TRUE
19,5,15,18,50,34,TRUE
9,3,12,8,32,18,TRUE
29,4,14,19,42,27,TRUE
286,27,17,53,310,171,TRUE
26,3,14,14,46,22,TRUE
64,11,16,26,118,59,TRUE
47,4,12,16,59,33,TRUE
107,9,21,40,111,76,TRUE
107,9,21,39,105,73,TRUE
74,5,16,31,75,56,TRUE
37,4,11,14,48,27,TRUE
79,7,15,31,103,58,TRUE
134,15,21,41,185,118,TRUE
55,4,19,40,84,68,TRUE
22,3,12,12,37,24,TRUE
22,3,12,10,46,27,TRUE
8,3,5,2,9,4,TRUE
151,18,26,56,273,166,TRUE
2,1,2,1,2,1,TRUE
2,1,4,1,4,1,TRUE
70,13,28,44,186,105,TRUE
4,1,5,2,5,2,TRUE
2,1,5,1,5,1,TRUE
27,1,6,12,19,18,TRUE
57,1,9,37,69,54,TRUE
4,1,3,1,3,1,TRUE
7,1,4,4,11,4,TRUE
7,1,5,2,6,3,TRUE
16,2,8,5,23,9,TRUE
11,1,6,4,7,4,TRUE
8,2,9,4,11,6,TRUE
62,14,37,72,282,163,TRUE
39,4,13,15,57,31,TRUE
165,13,27,39,240,125,TRUE
45,3,13,16,53,30,TRUE
3,1,1,0,1,0,TRUE
21,2,10,14,43,18,TRUE
23,1,8,20,41,28,TRUE
12,1,7,10,13,11,TRUE
44,7,14,24,76,48,TRUE
17,4,9,7,22,12,TRUE
40,5,13,18,57,38,TRUE
179,13,17,57,208,153,TRUE
92,8,12,36,121,91,TRUE
14,1,6,12,14,12,TRUE
92,8,12,34,116,87,TRUE
64,4,11,31,77,61,TRUE
184,16,28,75,257,180,TRUE
17,4,9,6,21,11,TRUE
38,5,13,18,57,36,TRUE
6,1,4,3,4,3,TRUE
41,4,13,18,56,29,TRUE
13,1,1,4,1,6,TRUE
20,4,9,8,23,13,TRUE
50,5,15,20,78,44,TRUE
17,1,7,14,30,20,TRUE
41,6,21,20,59,36,TRUE
29,4,12,13,33,27,TRUE
125,8,18,59,156,116,TRUE
42,5,14,19,71,42,TRUE
17,4,9,6,21,11,TRUE
14,3,11,8,27,13,TRUE
9,1,4,2,4,2,TRUE
3,1,1,0,1,0,TRUE
11,2,7,11,15,11,TRUE
35,3,14,23,63,42,TRUE
7,2,7,2,8,3,TRUE
34,5,15,16,59,40,TRUE
24,4,16,11,31,24,TRUE
35,4,15,19,50,35,TRUE
48,4,18,20,86,46,TRUE
61,7,15,35,113,54,TRUE
20,1,4,14,10,17,TRUE
10,1,5,8,7,8,TRUE
38,5,11,15,64,35,TRUE
4,1,3,1,3,1,TRUE
15,2,8,7,22,13,TRUE
6,1,6,4,8,4,TRUE
6,1,5,3,5,3,TRUE
50,6,20,28,88,56,TRUE
17,1,8,11,27,16,TRUE
20,2,10,13,30,19,TRUE
8,1,8,6,13,7,TRUE
20,5,9,12,38,16,TRUE
36,7,13,15,44,31,TRUE
27,1,9,27,60,44,TRUE
13,3,10,6,18,10,TRUE
13,3,10,6,18,10,TRUE
13,3,10,6,18,10,TRUE
78,6,12,54,200,98,TRUE
84,7,13,55,207,104,TRUE
99,8,21,34,177,100,TRUE
25,3,9,10,28,17,TRUE
97,14,21,38,164,109,TRUE
95,16,22,39,156,98,TRUE
132,14,21,49,197,134,TRUE
61,4,15,32,136,81,TRUE
8,1,6,6,8,6,TRUE
55,5,11,24,74,44,TRUE
57,4,15,30,124,74,TRUE
51,13,17,19,93,45,TRUE
93,7,20,47,144,103,TRUE
29,1,7,25,64,35,TRUE
112,16,20,42,194,140,TRUE
152,22,22,71,271,192,TRUE
25,4,11,19,46,30,TRUE
78,11,17,39,138,89,TRUE
35,5,13,19,52,31,TRUE
12,3,5,5,10,5,TRUE
19,2,13,8,25,12,TRUE
19,3,8,6,19,12,TRUE
15,2,9,12,16,14,TRUE
217,28,18,68,345,176,TRUE
150,27,30,54,270,168,TRUE
30,3,12,14,48,29,TRUE
15,1,9,9,22,17,TRUE
41,1,0,0,0,0,TRUE
25,3,11,12,29,19,TRUE
15,8,17,16,44,32,TRUE
56,13,19,35,132,94,TRUE
20,2,10,10,18,13,TRUE
9,2,13,8,26,15,TRUE
145,25,28,55,268,173,TRUE
34,4,11,9,43,26,TRUE
12,1,11,11,24,17,TRUE
24,5,19,15,38,25,TRUE
74,6,16,32,77,58,TRUE
36,1,9,10,45,24,TRUE
7,2,7,3,15,3,TRUE
7,1,5,4,10,4,TRUE
6,1,4,2,10,3,TRUE
55,5,14,28,85,57,TRUE
21,1,6,8,16,9,TRUE
17,3,8,8,21,10,TRUE
19,3,10,7,21,10,TRUE
22,3,12,9,31,16,TRUE
40,3,13,22,54,34,TRUE
15,2,7,5,10,7,TRUE
27,5,20,22,75,38,TRUE
35,1,8,10,19,13,TRUE
30,2,10,21,63,30,TRUE
12,1,6,10,12,10,TRUE
22,1,2,10,3,11,TRUE
40,5,13,20,63,43,TRUE
176,16,22,63,229,156,TRUE
132,13,23,57,168,110,TRUE
101,13,18,42,131,83,TRUE
