loc,v(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd,defects
1.1,1.4,1.2,1.2,1.2,1.2,FALSE
1,1,1,1,1,1,TRUE
91,9,29,66,192,126,TRUE
109,21,28,75,229,152,TRUE
505,106,64,397,1397,942,TRUE
107,25,35,86,359,260,TRUE
74,11,29,63,169,125,TRUE
602,136,99,538,1641,1144,TRUE
29,2,8,27,73,67,TRUE
36,3,15,37,137,117,TRUE
70,11,28,102,240,194,TRUE
109,20,23,38,144,79,TRUE
37,3,21,37,99,88,TRUE
90,29,21,102,287,201,TRUE
19,2,15,16,44,27,TRUE
152,21,26,73,243,187,TRUE
22,5,17,25,59,41,TRUE
69,12,21,106,300,236,TRUE
49,9,25,44,116,75,TRUE
48,3,23,38,137,111,TRUE
128,19,34,70,285,209,TRUE
32,6,28,36,107,79,TRUE
38,6,19,42,148,96,TRUE
34,6,19,38,108,68,TRUE
16,3,14,18,36,24,TRUE
15,4,18,22,50,36,TRUE
14,3,10,14,29,18,TRUE
22,5,17,24,59,41,TRUE
22,3,11,21,43,31,TRUE
12,2,10,14,24,17,TRUE
25,8,16,31,63,47,TRUE
23,4,15,27,57,44,TRUE
8,1,11,18,26,23,TRUE
47,7,18,45,83,66,TRUE
19,3,14,20,42,35,TRUE
64,8,22,39,119,79,TRUE
110,25,23,77,361,302,TRUE
58,6,16,60,164,150,TRUE
167,26,20,136,367,304,TRUE
60,12,25,35,109,74,TRUE
14,3,15,12,26,20,TRUE
15,1,5,16,28,25,TRUE
120,7,28,107,544,458,TRUE
28,6,21,26,52,34,TRUE
64,12,26,59,202,166,TRUE
61,7,16,59,159,145,TRUE
3,1,6,4,6,4,TRUE
141,24,32,90,365,292,TRUE
6,1,13,12,18,12,TRUE
93,17,28,66,229,180,TRUE
6,1,13,12,18,12,TRUE
31,7,18,30,61,47,TRUE
153,25,33,101,462,379,TRUE
63,17,24,75,229,200,TRUE
106,29,28,85,297,242,TRUE
23,5,25,29,66,47,TRUE
29,5,18,31,93,71,TRUE
84,9,31,140,457,419,TRUE
17,1,16,26,58,44,TRUE
6,1,4,5,6,5,TRUE
15,4,18,22,50,36,TRUE
29,5,18,30,84,62,TRUE
5,1,4,5,6,5,TRUE
15,3,11,15,32,21,TRUE
5,1,4,5,6,5,TRUE
6,1,4,5,6,5,TRUE
23,4,15,28,57,44,TRUE
5,1,4,5,6,5,TRUE
5,1,4,5,6,5,TRUE
43,9,14,43,104,82,TRUE
14,4,15,20,40,29,TRUE
16,5,16,25,52,38,TRUE
3,1,9,5,13,5,TRUE
24,4,12,21,60,56,TRUE
17,4,13,18,45,34,TRUE
6,1,4,5,6,5,TRUE
27,7,22,20,55,39,TRUE
6,1,4,5,6,5,TRUE
10,1,6,9,14,11,FALSE
29,6,15,18,48,31,FALSE
8,2,6,2,8,3,FALSE
108,22,31,91,270,194,FALSE
14,7,16,22,42,40,FALSE
0,1,1,0,1,0,FALSE
13,4,12,8,25,17,FALSE
0,1,1,0,1,0,FALSE
56,1,34,48,202,125,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
7,1,7,11,18,13,FALSE
9,2,6,10,16,14,FALSE
10,1,10,11,22,13,FALSE
7,1,7,11,18,13,FALSE
9,2,6,10,16,14,FALSE
14,1,12,21,42,26,FALSE
11,3,10,15,29,28,FALSE
19,5,14,15,41,25,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
14,2,10,18,33,28,FALSE
4,1,5,4,7,4,FALSE
4,1,5,4,7,4,FALSE
11,1,8,8,24,14,FALSE
0,1,2,0,2,0,FALSE
6,2,8,6,10,10,FALSE
0,1,1,0,1,0,FALSE
6,1,3,5,9,6,FALSE
14,2,13,12,33,17,FALSE
17,6,13,9,41,30,FALSE
36,7,18,35,92,62,FALSE
49,10,26,42,99,69,FALSE
0,1,2,0,2,0,FALSE
40,9,25,35,100,65,FALSE
7,2,4,3,7,3,FALSE
76,14,27,51,132,95,FALSE
19,2,16,24,52,38,FALSE
15,3,10,17,27,21,FALSE
10,3,15,9,18,13,FALSE
10,1,12,11,24,13,FALSE
15,3,10,17,27,21,FALSE
10,3,15,9,18,13,FALSE
9,1,10,9,20,11,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
57,9,27,52,125,86,FALSE
36,9,16,30,67,45,FALSE
0,1,2,0,2,0,FALSE
9,1,9,6,16,8,FALSE
8,1,5,3,10,4,FALSE
14,2,8,11,22,13,FALSE
4,1,6,6,8,7,FALSE
36,10,15,36,81,70,FALSE
3,1,4,5,6,5,FALSE
10,2,9,9,16,13,FALSE
8,2,14,12,24,17,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
51,14,21,48,145,100,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
7,1,7,10,16,12,FALSE
18,5,11,11,49,38,FALSE
9,1,10,9,20,11,FALSE
7,1,7,10,16,12,FALSE
3,1,7,4,8,4,FALSE
10,1,12,11,24,13,FALSE
35,7,18,34,89,59,FALSE
23,6,14,24,51,34,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
63,11,30,51,153,114,FALSE
22,3,10,11,36,19,FALSE
0,1,2,0,2,0,FALSE
8,3,11,11,24,24,FALSE
142,73,36,152,554,507,FALSE
58,72,17,55,268,215,FALSE
22,14,19,11,65,37,FALSE
29,8,20,23,79,62,FALSE
44,6,15,43,108,94,FALSE
0,1,2,0,2,0,FALSE
5,1,4,3,4,3,FALSE
7,1,7,10,16,12,FALSE
8,1,8,7,15,10,FALSE
16,1,10,13,33,21,FALSE
7,1,7,10,16,12,FALSE
8,1,8,7,15,10,FALSE
9,1,10,9,20,11,FALSE
0,1,2,0,2,0,FALSE
0,1,2,0,2,0,FALSE
3,1,10,7,20,9,FALSE
3,1,3,1,3,1,FALSE
23,3,11,20,52,48,FALSE
14,2,10,10,33,30,FALSE
3,1,3,2,3,2,FALSE
0,1,4,1,4,1,FALSE
27,8,22,27,72,55,FALSE
18,5,18,21,53,44,FALSE
53,3,17,70,158,138,FALSE
253,33,47,146,602,452,FALSE
11,2,11,12,25,15,FALSE
10,1,7,11,21,18,FALSE
17,1,13,14,38,22,FALSE
11,2,11,12,25,15,FALSE
10,1,7,11,21,18,FALSE
15,1,10,11,30,18,FALSE
19,3,12,31,78,56,FALSE
28,2,12,32,97,78,FALSE
4,1,5,4,7,4,FALSE
4,1,6,4,8,4,FALSE
62,6,24,58,145,123,FALSE
3,2,4,1,4,1,FALSE
0,1,4,1,4,1,FALSE
13,3,10,11,26,24,FALSE
16,2,13,30,109,76,FALSE
5,1,7,3,8,4,FALSE
15,3,11,11,24,21,FALSE
91,16,26,42,235,189,FALSE
26,5,15,26,49,37,FALSE
11,1,6,16,23,21,FALSE
16,1,11,12,34,20,FALSE
26,5,15,26,49,37,FALSE
11,1,6,15,23,21,FALSE
17,1,13,14,38,22,FALSE
20,9,18,23,65,50,FALSE
23,3,16,21,64,43,FALSE
30,7,16,31,71,53,FALSE
29,6,18,27,87,72,FALSE
8,1,6,9,14,11,FALSE
8,2,10,9,15,12,FALSE
43,13,22,40,101,75,FALSE
45,12,26,45,122,99,FALSE
21,8,19,12,50,33,FALSE
3,1,4,6,10,9,FALSE
33,9,11,22,56,40,FALSE
46,8,22,34,99,77,FALSE
18,6,10,18,43,32,FALSE
45,5,19,35,74,54,FALSE
19,2,16,26,64,54,FALSE
8,1,8,12,19,14,FALSE
5,1,6,4,8,5,FALSE
11,1,12,13,26,15,FALSE
8,1,8,12,19,14,FALSE
5,1,6,4,8,5,FALSE
16,1,11,12,34,20,FALSE
19,3,15,33,93,68,FALSE
27,3,12,21,67,43,FALSE
10,1,8,8,23,14,FALSE
7,2,9,12,23,17,FALSE
17,4,10,13,34,29,FALSE
8,1,5,14,26,25,FALSE
21,8,19,12,50,33,FALSE
13,3,14,12,31,22,FALSE
27,8,21,25,65,40,FALSE
14,1,12,21,54,45,FALSE
14,5,16,12,36,30,FALSE
28,3,10,33,65,58,FALSE
25,6,14,26,51,42,FALSE
19,5,15,13,48,43,FALSE
7,1,7,10,16,12,FALSE
6,1,6,4,10,7,FALSE
9,1,10,9,20,11,FALSE
7,1,7,10,16,12,FALSE
6,1,6,4,10,7,FALSE
7,1,10,8,19,10,FALSE
32,9,11,23,57,41,FALSE
32,7,16,25,67,53,FALSE
64,8,26,40,151,124,FALSE
7,2,6,6,10,6,FALSE
4,2,7,4,7,6,FALSE
5,1,7,3,8,5,FALSE
10,2,8,16,28,26,FALSE
10,4,13,5,30,18,FALSE
13,7,19,12,53,38,FALSE
8,4,6,8,16,12,FALSE
18,5,14,17,39,33,FALSE
5,1,5,4,7,5,FALSE
5,1,5,4,7,5,FALSE
11,1,12,13,26,15,FALSE
24,7,20,23,57,36,FALSE
12,3,10,9,22,14,FALSE
3,1,5,5,8,6,FALSE
